name,review,Overall Company Rating
Mahendra Dhaker,"I've visited the Google office a few times to meet a dear friend. The buildings, though old on the outside, are very modern inside. As a guest, I only accessed common areas like restrooms and restaurants. The food was comparable to that of …More",4.7
Priyas Paulzagade,"The office is clean and modern, with plenty of space to collaborate and get work done. The employees are friendly and helpful, and the management is always looking for ways to improve the work environment. …More",4.7
Diit the best spoken English center,"I had just changed the location on Google map which was earlier showing wrong location of our office  or any competitor had reported just by blindly Google had suspended our business on Google, and it's impossible to contact google customer …More",4.7
Arabinda Kumar Pal,Amazing experience. Very good ambience and employees can avail  almost all the facilities that one requires in his/her daily life in the office itself.,4.7
Madhulima Saha,If i had such a beautiful office .... I would never crib about work..,4.7
Daniel De Maio,"Really bad service, account reps don’t care about your success . They will always try and get you to spend the most for ads and never really help you. You get a new rep every 3-6 months and they will not know anything about your company or want to learn. It takes multiple requests to even get a response.",4.7
Ajay Kumar Yadav,"Google has the worst customer support services in India, it is impossible to get any help from google in any medium. Neither you create any ticket for your concern nor to call to customer support. Google is earning hefty amount from India, …More",4.7
Sindhurika Kalkunte,"Great place and thoughtfully designed. Wonderful food. Each floor had something different to explore! Library, game rooms, spa and much more!",4.7
Sonali Agrawal,"I have visited Google office on several occasions thanks to my Googler friends! Although my office (Microsoft office) is bigger with a beautiful lake and overall more scenic, but I like the vibes this office has. It has very positive …More",4.7
Andrew Daniel,"What can I say about this place Google : The office in Hyderabad is the head office in India, a dream company to work was also my first company that I joined right after my degree college. …More",4.7
Lynette A,"As with all Google offices this on is unique in decorations, interaction spaces and areas of focus.  What isn't unique is the way Google reacts to provide assistance, as always it is top notch and considerate.  Google went above and beyond …More",4.7
Manpreeth Nishter,Visitors need to get pass for parking inside the building. There’s no street parking on the main road but in lanes nearby one can easy park. Office is spread across in multiple blocks with warm and welcoming receptions. Visitors should make sure to get their as well as their car pass before hand to save time.,4.7
Nigel,Have to be the best office ever in India. This office is more than just a workspace. Over 900 Googlers work here but the atmosphere is so calm and quiet.  Working here probably wouldn't even feel like work because of the great atmosphere. …More,4.7
Daniel Th,"Block 1 in DivyaSree Omega is for permanent Google employees. This is their core development centre office in Hyderabad. Simply awesome building. Workstations are lively, cafeteria food is complementary,  Superb facilities to employees. The best company to work for in Hyd & across the world.",4.7
Divya Gonnabathula,"Convenient location, well planned entry and exit points, top class property maintenance and helpful support staff team!",4.7
Cash Xchange,"Good day. About a month ago, I receive a call an agent from google based India. Unfortunately, I did not get the person's name. However, I recognize that it was a lady on the line. As per our conversation, she asked me question about the …More",4.7
Rambabu Kaipa,Great office building . It is in Hitech city on a main road.. An example of a great workplace. …More,4.7
boya naveen,Nice 🙂👍🏻,4.7
Arati Shinde,"This just awesome place, one will definitely have dream to work with this company, am just surprised after visiting this place. Everything is perfect for the employees.",4.7
Sameer Shukla,Nice experience to visit this place. After many long time we meet my childhood friend.,4.7
Hemanth Kumar,"Owsome place to work, Great place to build your career",4.7
Ghar ka khana,Awesome infrastructure. Cool and positive vibes. Clean and neat surrounding. Felt so good by taking to the people over there.,4.7
Aashish Singh,"Truly the best place to work! Though how long it stays the best is the question.Amazing people, amazing culture and yes amazing free food. :)",4.7
Mahendra Dhaker,"I've visited the Google office a few times to meet a dear friend. The buildings, though old on the outside, are very modern inside. As a guest, I only accessed common areas like restrooms and restaurants. The food was comparable to that of …More",4.7
Priyas Paulzagade,"The office is clean and modern, with plenty of space to collaborate and get work done. The employees are friendly and helpful, and the management is always looking for ways to improve the work environment. …More",4.7
Diit the best spoken English center,"I had just changed the location on Google map which was earlier showing wrong location of our office  or any competitor had reported just by blindly Google had suspended our business on Google, and it's impossible to contact google customer …More",4.7
Arabinda Kumar Pal,Amazing experience. Very good ambience and employees can avail  almost all the facilities that one requires in his/her daily life in the office itself.,4.7
Madhulima Saha,If i had such a beautiful office .... I would never crib about work..,4.7
Daniel De Maio,"Really bad service, account reps don’t care about your success . They will always try and get you to spend the most for ads and never really help you. You get a new rep every 3-6 months and they will not know anything about your company or want to learn. It takes multiple requests to even get a response.",4.7
Ajay Kumar Yadav,"Google has the worst customer support services in India, it is impossible to get any help from google in any medium. Neither you create any ticket for your concern nor to call to customer support. Google is earning hefty amount from India, …More",4.7
Sindhurika Kalkunte,"Great place and thoughtfully designed. Wonderful food. Each floor had something different to explore! Library, game rooms, spa and much more!",4.7
Sonali Agrawal,"I have visited Google office on several occasions thanks to my Googler friends! Although my office (Microsoft office) is bigger with a beautiful lake and overall more scenic, but I like the vibes this office has. It has very positive …More",4.7
Andrew Daniel,"What can I say about this place Google : The office in Hyderabad is the head office in India, a dream company to work was also my first company that I joined right after my degree college. …More",4.7
Lynette A,"As with all Google offices this on is unique in decorations, interaction spaces and areas of focus.  What isn't unique is the way Google reacts to provide assistance, as always it is top notch and considerate.  Google went above and beyond …More",4.7
Manpreeth Nishter,Visitors need to get pass for parking inside the building. There’s no street parking on the main road but in lanes nearby one can easy park. Office is spread across in multiple blocks with warm and welcoming receptions. Visitors should make sure to get their as well as their car pass before hand to save time.,4.7
Nigel,Have to be the best office ever in India. This office is more than just a workspace. Over 900 Googlers work here but the atmosphere is so calm and quiet.  Working here probably wouldn't even feel like work because of the great atmosphere. …More,4.7
Daniel Th,"Block 1 in DivyaSree Omega is for permanent Google employees. This is their core development centre office in Hyderabad. Simply awesome building. Workstations are lively, cafeteria food is complementary,  Superb facilities to employees. The best company to work for in Hyd & across the world.",4.7
Divya Gonnabathula,"Convenient location, well planned entry and exit points, top class property maintenance and helpful support staff team!",4.7
Cash Xchange,"Good day. About a month ago, I receive a call an agent from google based India. Unfortunately, I did not get the person's name. However, I recognize that it was a lady on the line. As per our conversation, she asked me question about the …More",4.7
Rambabu Kaipa,Great office building . It is in Hitech city on a main road.. An example of a great workplace. …More,4.7
boya naveen,Nice 🙂👍🏻,4.7
Arati Shinde,"This just awesome place, one will definitely have dream to work with this company, am just surprised after visiting this place. Everything is perfect for the employees.",4.7
Sameer Shukla,Nice experience to visit this place. After many long time we meet my childhood friend.,4.7
Hemanth Kumar,"Owsome place to work, Great place to build your career",4.7
Ghar ka khana,Awesome infrastructure. Cool and positive vibes. Clean and neat surrounding. Felt so good by taking to the people over there.,4.7
Aashish Singh,"Truly the best place to work! Though how long it stays the best is the question.Amazing people, amazing culture and yes amazing free food. :)",4.7
Mahendra Dhaker,"I've visited the Google office a few times to meet a dear friend. The buildings, though old on the outside, are very modern inside. As a guest, I only accessed common areas like restrooms and restaurants. The food was comparable to that of …More",4.7
Priyas Paulzagade,"The office is clean and modern, with plenty of space to collaborate and get work done. The employees are friendly and helpful, and the management is always looking for ways to improve the work environment. …More",4.7
Diit the best spoken English center,"I had just changed the location on Google map which was earlier showing wrong location of our office  or any competitor had reported just by blindly Google had suspended our business on Google, and it's impossible to contact google customer …More",4.7
Arabinda Kumar Pal,Amazing experience. Very good ambience and employees can avail  almost all the facilities that one requires in his/her daily life in the office itself.,4.7
Madhulima Saha,If i had such a beautiful office .... I would never crib about work..,4.7
Daniel De Maio,"Really bad service, account reps don’t care about your success . They will always try and get you to spend the most for ads and never really help you. You get a new rep every 3-6 months and they will not know anything about your company or want to learn. It takes multiple requests to even get a response.",4.7
Ajay Kumar Yadav,"Google has the worst customer support services in India, it is impossible to get any help from google in any medium. Neither you create any ticket for your concern nor to call to customer support. Google is earning hefty amount from India, …More",4.7
Sindhurika Kalkunte,"Great place and thoughtfully designed. Wonderful food. Each floor had something different to explore! Library, game rooms, spa and much more!",4.7
Sonali Agrawal,"I have visited Google office on several occasions thanks to my Googler friends! Although my office (Microsoft office) is bigger with a beautiful lake and overall more scenic, but I like the vibes this office has. It has very positive …More",4.7
Andrew Daniel,"What can I say about this place Google : The office in Hyderabad is the head office in India, a dream company to work was also my first company that I joined right after my degree college. …More",4.7
