Name,Review,Overall Company Rating
Archana Agarwal,A great place to work. Those who are looking for inspiration just visit this workplace you will absolutely work hard to reach here😍,4.7
Jennifer Ruby,"The new Microsoft building at Bellandur -Sarjapur junction is an amazing infrastructure by Prestige Ferns Galaxy, a flagship project of Ferns Estates & Developers in association with Prestige Constructions. …More",4.7
Syed Azhar Hussain Rizvi,You need to visit their campus. The interiors are so subtle and beautiful you may mistook the place for a luxury hotel and not an IT company.No doubt they hire the best geeks from India and provide them the best facilities.,4.7
devarshi singh,#I work at MicrosoftThe office is amazing. The amenities provided by Microsoft to its employees are one of the best in the industry.,4.7
Virag Jain,"Great workplace, nice environment, constant innovation and awesome people!",4.7
San G,Great campus. Good options for food in cafeteria and vending machine.,4.7
Sunny Raj,"It was quite amazing experience in Microsoft. As we know Microsoft is known for its work culture and experience. I am attended one day Microsoft build 2022 recap. It was really interesting and knowledgeable. After seminar we had take lunch ,it was superb delicious.",4.7
Poornachandra Tejaswi,Best work life balance incorporated company. It's a great landmark in near by areas.,4.7
Arjun Hegde,Attended the K8 meetup session. Had a wonderful experience. Has all amenities and the staff are kind enough to guide you.,4.7
venka2kact,I love the work environment and the restaurant's,4.7
Kishori Dessai,The office has ample facilities from gym to recreational activities to all indoor and outdoor games. The cafeteria at the ground floor is amazing and food is exceptionally good. …More,4.7
Nikitha yadav,"A very nice business park, well maintained and guards are found all over the place if u need a guidance,",4.7
Ravi Kanth Pedakamsetti,"One of my Fav place to work, And one of the best and top companies in Bangalore",4.7
Rituraj (onestep4ward.in),Nice office but employees here are super frustrated. Basically its a call center of microsoft with no work life balance and employees jobs are based on surveys from clients. One bad survey may end up in employee being fired and multiple bad …More,4.7
that one guy who is unfunny ass,when i search something is says 'redirected you too many times' every now and then it does that,4.7
Varshitha R,"I went work shop this office, environment was too good.",4.7
Vaishali Bhayani Shah,"Great Ambience, Security checks, Hygiene and cleanliness",4.7
Aniket Prabhu,Superb workplace. Often hosts technical community  meets and gatherings.,4.7
Ayan vatsa,Bill sir Tu se great ho,4.7
Aditya Raj,"The new Microsoft building at Bellandur -Sarjapur junction is an amazing infrastructure by Prestige Ferns Galaxy, a flagship project of Ferns Estates & Developers in association with Prestige Constructions. …More",4.7
Júştin Râkêşh,Let's discuss about upcoming updates & their features…About us;:Instagram: a1_rakesh,4.7
veeru kodavalluri,Great time,4.7
Praveen Matapathi,Microsoft might be good but the vendors they deal with is absolute shyt…concentrix do not respect potential employees time I don’t know if Microsoft knows this the salary concentrix pay for the employees (contract employees to Microsoft) is …More,4.7
Archana Agarwal,A great place to work. Those who are looking for inspiration just visit this workplace you will absolutely work hard to reach here😍,4.7
Jennifer Ruby,"The new Microsoft building at Bellandur -Sarjapur junction is an amazing infrastructure by Prestige Ferns Galaxy, a flagship project of Ferns Estates & Developers in association with Prestige Constructions. …More",4.7
Syed Azhar Hussain Rizvi,You need to visit their campus. The interiors are so subtle and beautiful you may mistook the place for a luxury hotel and not an IT company.No doubt they hire the best geeks from India and provide them the best facilities.,4.7
devarshi singh,#I work at MicrosoftThe office is amazing. The amenities provided by Microsoft to its employees are one of the best in the industry.,4.7
Virag Jain,"Great workplace, nice environment, constant innovation and awesome people!",4.7
San G,Great campus. Good options for food in cafeteria and vending machine.,4.7
Sunny Raj,"It was quite amazing experience in Microsoft. As we know Microsoft is known for its work culture and experience. I am attended one day Microsoft build 2022 recap. It was really interesting and knowledgeable. After seminar we had take lunch ,it was superb delicious.",4.7
Poornachandra Tejaswi,Best work life balance incorporated company. It's a great landmark in near by areas.,4.7
Arjun Hegde,Attended the K8 meetup session. Had a wonderful experience. Has all amenities and the staff are kind enough to guide you.,4.7
venka2kact,I love the work environment and the restaurant's,4.7
Kishori Dessai,The office has ample facilities from gym to recreational activities to all indoor and outdoor games. The cafeteria at the ground floor is amazing and food is exceptionally good. …More,4.7
Nikitha yadav,"A very nice business park, well maintained and guards are found all over the place if u need a guidance,",4.7
Ravi Kanth Pedakamsetti,"One of my Fav place to work, And one of the best and top companies in Bangalore",4.7
Rituraj (onestep4ward.in),Nice office but employees here are super frustrated. Basically its a call center of microsoft with no work life balance and employees jobs are based on surveys from clients. One bad survey may end up in employee being fired and multiple bad …More,4.7
that one guy who is unfunny ass,when i search something is says 'redirected you too many times' every now and then it does that,4.7
Varshitha R,"I went work shop this office, environment was too good.",4.7
Vaishali Bhayani Shah,"Great Ambience, Security checks, Hygiene and cleanliness",4.7
Aniket Prabhu,Superb workplace. Often hosts technical community  meets and gatherings.,4.7
Ayan vatsa,Bill sir Tu se great ho,4.7
Aditya Raj,"The new Microsoft building at Bellandur -Sarjapur junction is an amazing infrastructure by Prestige Ferns Galaxy, a flagship project of Ferns Estates & Developers in association with Prestige Constructions. …More",4.7
Júştin Râkêşh,Let's discuss about upcoming updates & their features…About us;:Instagram: a1_rakesh,4.7
veeru kodavalluri,Great time,4.7
Praveen Matapathi,Microsoft might be good but the vendors they deal with is absolute shyt…concentrix do not respect potential employees time I don’t know if Microsoft knows this the salary concentrix pay for the employees (contract employees to Microsoft) is …More,4.7
Max Porpylev,Campus restrooms have perforated toilet paper (two steps ahead of USA!) But Cafeteria is disorganized hell.,4.7
Vikas RK,"Best place to work, ambient space and fully loaded indoor and outdoor games. They have state of the art infrastructure. Campus has all the necessary features an employee would expect from any organization. Lunch offered here is best in quality and enough quantity. I could say never miss such opportunity..",4.7
Kartikay Sharma,My Workplace and its a fun place to be.,4.7
Pranam Bhat,I had been there for an event. What a campus! I would love to work there!Cafeteria is neat and clean. ATM machine's available. Spacious hall. Well …More,4.7
manas mohanty,Everything is Good..Just not the Justifications..,4.7
Bhavanishankar J Nanjayyanamath,"It's really a good company, which is a sole company..no companies around...big cafeteria.. environment...it has cricket net practice, basketball ground, garden sitouts etc.",4.7
Rajesh Kumar,Good work space,4.7
Sanglap Chakraborty,One of the best employers during my 8 year long professional career. The campus is well maintained and has every modern facilities. Definitely best place to work.,4.7
Surendra. Patil,International softwear company,4.7
saraswat abhinav,This office is well layout .... And one of the beautiful places to work with .... As usual Microsoft does take care of its employees and Partners working from this location......,4.7
Syed Khaja Moinuddin,It's One of Best Working Ecosystems,4.7
