name,review,Overall Company Rating
Anurag Singh,"Tech Mahindra: Pioneering Innovation and Employee-Centric ExcellenceTech Mahindra, a leading IT multinational corporation, has firmly established …More",4.2
Purushotham BR,One of the biggest tech campus with 800 acres. Entire campus was so green and cool the atmosphere makes everyone energetic …More,4.2
Pooja K V,"One of the best places to work.Situated in phase 2 of electronics city.Shares its surroundings with TCS, Schiender electricals & Hical companies.They have a wide campus with various features like ITCs, cafeteria, ground, gym, …More",4.2
Veera lakshmi,I got the call from tech Mahindra. he asked interview process rupees 3000 .i had understood by this is a fake. So will be please aware take some immediate action tech Mahindra.,4.2
Rider's Note,"Overall good experience, salary, projects  and infrastructure etc. They have a beautiful and nature friendly campus. Each employee's experience will be different based on the project or client (International or Domestic). However work life …More",4.2
soumyaranjan sahoo,"Tech M- Narayan hospital process literally the waste management with waste project. No respect toward employee, No breaks, No holidays. Full healthcare process. Full of bengoli people who after getting the post thinking they are superior. …More",4.2
Narayana Pavan Sarma,Very Good Environment,4.2
Ram,Work and life balanceWorkEat …More,4.2
Abhilash Ravindran,Very big campus at E city Bengaluru. Lots of trees with well maintained gardens. Good place to work if your looking for a long term company.,4.2
danda roshini,"Such a wonderful place very peace and It is one of the biggest campus among all Tech m campus in India located in 23acrs.. clean n green..and working environment is really really great ,very supportive and encouraging leader's and …More",4.2
Athif Aslam,"Huge campus with lot of greenery, parking till basement 4, very secure and very good working environment",4.2
Basavaraju M N,"Nice place, Lot of trees which is very good. I went there for an interview they suggested to go ITC 6 but I did not find any board which shows direction to the specific building to reach. Anyways I have asked people and reached there. Canteen is good, had nice time. Enjoyed being interviewed.",4.2
Tapaswinee Mallik,Very worst experience after I took training they certified and kept in OJT observation.I took 2-3 days of emergency leave because of my health issues. Within these days they didn't certify me and send me back. As I am having experiences and still they did the injustice with me.,4.2
himadri ghosh,Very big campus in E city Bengaluru with lots of greenery...,4.2
Akhilesh Chandra,Nice meeting with Mr. Ravi Kulkarni,4.2
Ramrajkumar M,"Don't get fooled by its looks, IT Union Associations has black listed this company as worst. Also they ask you to sign for Arbitration and later blackmail you if you ever complain about any inconvenience. If they are asking you to exit for …More",4.2
Sudipta Bhattacharya,Nice campus. Nice cafeteria. Nice parking. Good workplace.,4.2
Sathyanarayana B K,Ya its really a good place to visit n getting good information abt the company n good experience,4.2
Jake,One of the best infrastructure for office premises,4.2
SURESH KUMAR (BODDU),"Great place to work, play, eat and relax.Big & old banyan tree captures our heart.",4.2
Gajjala Ganesh,It is one of the Best campus...Nice atmosphere.,4.2
DAVAN DEVANG H S,Worst company in terms of recruitment. They conduct 6 rounds for basic package and during HR interview they reject talented person over choosing other state people. Karnataka people have less opportunity here . I got rejected in HR …More,4.2
Sachin kumar,Good company with such a amazing atmosphere,4.2
Anurag Singh,"Tech Mahindra: Pioneering Innovation and Employee-Centric ExcellenceTech Mahindra, a leading IT multinational corporation, has firmly established …More",4.2
Purushotham BR,One of the biggest tech campus with 800 acres. Entire campus was so green and cool the atmosphere makes everyone energetic …More,4.2
Pooja K V,"One of the best places to work.Situated in phase 2 of electronics city.Shares its surroundings with TCS, Schiender electricals & Hical companies.They have a wide campus with various features like ITCs, cafeteria, ground, gym, …More",4.2
Veera lakshmi,I got the call from tech Mahindra. he asked interview process rupees 3000 .i had understood by this is a fake. So will be please aware take some immediate action tech Mahindra.,4.2
