name,review,Overall Company Rating
Meer WajeedAli,"To be honest I’m giving here 5 ⭐️ because I found this organisation caring to employees and provides cross skilling opportunities which boost confidence, satisfied with job security and work culture.",4.2
Vijay V K (Vijay),"If you are okay with not giving salaries on time, excessive pressure lots of humiliation and no job security, you can join tech Mahindra. …More",4.2
Anubhav Saini,"It was a great experience working in Tech Mahindra Limited, Good infrastructure and amazing work environment, great to be a part of Tech Mahindra.",4.2
Meer WajeedAli,"To be honest I’m giving here 5 ⭐️ because I found this organisation caring to employees and provides cross skilling opportunities which boost confidence, satisfied with job security and work culture.",4.2
Vijay V K (Vijay),"If you are okay with not giving salaries on time, excessive pressure lots of humiliation and no job security, you can join tech Mahindra. …More",4.2
Anubhav Saini,"It was a great experience working in Tech Mahindra Limited, Good infrastructure and amazing work environment, great to be a part of Tech Mahindra.",4.2
Sai Manoj,"company has big fame and reputation but it doesn't behave like one "" PLEASE DONT JOIN TECH M THEY CUT YOUR SALARY AND IF YOU ASK HR THEY WILL SAY GO CHECK YOUR OFFER LETTER""such A SHAME FOR BIGGER COMPANY",4.2
farisa ali,"Internal politics, unprofessional behaviour of supervisor and managers, cab transportation is very poor, untrained drivers with no proper routing direction, no proper hikes, scam with your salaries and they will suck your mental health with …More",4.2
Neha,totally office politicsonly the favourite person of supervisor can crack the IJP'sthe supervisor creates drama on the floor and who acts according to the …More,4.2
Sourav Kumar Nanda,What a marvellous buildingAwsome created interiorsNice cafeteria with fully air-conditionedMake sure you put ur plates of your own after your lunch,4.2
vive SR,Bad place don't give leaves in case of emergency. Bad work life balance.,4.2
Dibyarup Dhar,"You can join this company at any level of your career, basically it's the project and team members who you need to look out for to grow and have a good work environment. I am glad that I found a great team who always helps me to grow.",4.2
HARISH KANTIMAHANTI,Don’t know how to conduct an interview process. Zero absolute zero coordination between HR team.,4.2
Dwadasi krishna chaitanya,Very nice place to visit and have client interactions,4.2
Ramesh Rami,One of the Worst experience ever faced in my interview trails. Attend interview on 30 th august 2018 for the role Tech Support Executive. I went there around 10.30 in the morning and we were waiting there in visitor room beside Gate area …More,4.2
Siva Dharmini Kolli,Campus is quite good. Food in cafeteria of Infocity is too worst. If you eat that you hate eating again. And eminities are very less. In washrooms you don't see toilet papers. This causes higene issues. Security guards behaviour is too rude …More,4.2
Peetam Bose,Too good campus with all aminities for awesome work life balance and keeping yourself rejoice for the next big thing.,4.2
vinay singh,"Spread across a large area in a very prime location near Cyber tower. Large gardens, parking lots, and other facilities. Beautiful place.",4.2
VivekSindhu1,"I went to the Tech mahindra. The office infrastructure is very nice as well as the security is good. I went for interview purpose, they took the whole day for only a 10 minute interview. It's not good for any candidate.",4.2
Nagendrakumar kalagara,"Very cool & No pressure, it's like government jobAwesome company",4.2
prakruthi daytodayneeds,TA team is not at all organised wil score fr the way the set interviews.. as  0 … as some one reviewed already yes they won’t share all details and get ur signature first and then the truth comes out # salary so many hidden clauses 365 days …More,4.2
SRINIVASA DEVI KURMA,I feel very happy work with this organisation,4.2
Pramod Kumar Sharma,Good place but a long wait time,4.2
Raj Naga,Nice work place .very honor to work in Techm .,4.2
Shinezzz,"Please meet HR dev, he is very much helpful and the inputs which is gave are amazing and helped me a lot to crack interviews instantly. Dev does a great work..😊 thank you.",4.2
swangi jha,It's very nice palace ..and very friendly also,4.2
Meer WajeedAli,"To be honest I’m giving here 5 ⭐️ because I found this organisation caring to employees and provides cross skilling opportunities which boost confidence, satisfied with job security and work culture.",4.2
Vijay V K (Vijay),"If you are okay with not giving salaries on time, excessive pressure lots of humiliation and no job security, you can join tech Mahindra. …More",4.2
Anubhav Saini,"It was a great experience working in Tech Mahindra Limited, Good infrastructure and amazing work environment, great to be a part of Tech Mahindra.",4.2
Sai Manoj,"company has big fame and reputation but it doesn't behave like one "" PLEASE DONT JOIN TECH M THEY CUT YOUR SALARY AND IF YOU ASK HR THEY WILL SAY GO CHECK YOUR OFFER LETTER""such A SHAME FOR BIGGER COMPANY",4.2
farisa ali,"Internal politics, unprofessional behaviour of supervisor and managers, cab transportation is very poor, untrained drivers with no proper routing direction, no proper hikes, scam with your salaries and they will suck your mental health with …More",4.2
Neha,totally office politicsonly the favourite person of supervisor can crack the IJP'sthe supervisor creates drama on the floor and who acts according to the …More,4.2
Sourav Kumar Nanda,What a marvellous buildingAwsome created interiorsNice cafeteria with fully air-conditionedMake sure you put ur plates of your own after your lunch,4.2
vive SR,Bad place don't give leaves in case of emergency. Bad work life balance.,4.2
Dibyarup Dhar,"You can join this company at any level of your career, basically it's the project and team members who you need to look out for to grow and have a good work environment. I am glad that I found a great team who always helps me to grow.",4.2
HARISH KANTIMAHANTI,Don’t know how to conduct an interview process. Zero absolute zero coordination between HR team.,4.2
Dwadasi krishna chaitanya,Very nice place to visit and have client interactions,4.2
Ramesh Rami,One of the Worst experience ever faced in my interview trails. Attend interview on 30 th august 2018 for the role Tech Support Executive. I went there around 10.30 in the morning and we were waiting there in visitor room beside Gate area …More,4.2
Siva Dharmini Kolli,Campus is quite good. Food in cafeteria of Infocity is too worst. If you eat that you hate eating again. And eminities are very less. In washrooms you don't see toilet papers. This causes higene issues. Security guards behaviour is too rude …More,4.2
Peetam Bose,Too good campus with all aminities for awesome work life balance and keeping yourself rejoice for the next big thing.,4.2
vinay singh,"Spread across a large area in a very prime location near Cyber tower. Large gardens, parking lots, and other facilities. Beautiful place.",4.2
VivekSindhu1,"I went to the Tech mahindra. The office infrastructure is very nice as well as the security is good. I went for interview purpose, they took the whole day for only a 10 minute interview. It's not good for any candidate.",4.2
Nagendrakumar kalagara,"Very cool & No pressure, it's like government jobAwesome company",4.2
prakruthi daytodayneeds,TA team is not at all organised wil score fr the way the set interviews.. as  0 … as some one reviewed already yes they won’t share all details and get ur signature first and then the truth comes out # salary so many hidden clauses 365 days …More,4.2
SRINIVASA DEVI KURMA,I feel very happy work with this organisation,4.2
Pramod Kumar Sharma,Good place but a long wait time,4.2
Raj Naga,Nice work place .very honor to work in Techm .,4.2
Shinezzz,"Please meet HR dev, he is very much helpful and the inputs which is gave are amazing and helped me a lot to crack interviews instantly. Dev does a great work..😊 thank you.",4.2
swangi jha,It's very nice palace ..and very friendly also,4.2
Meer WajeedAli,"To be honest I’m giving here 5 ⭐️ because I found this organisation caring to employees and provides cross skilling opportunities which boost confidence, satisfied with job security and work culture.",4.2
Vijay V K (Vijay),"If you are okay with not giving salaries on time, excessive pressure lots of humiliation and no job security, you can join tech Mahindra. …More",4.2
Anubhav Saini,"It was a great experience working in Tech Mahindra Limited, Good infrastructure and amazing work environment, great to be a part of Tech Mahindra.",4.2
Sai Manoj,"company has big fame and reputation but it doesn't behave like one "" PLEASE DONT JOIN TECH M THEY CUT YOUR SALARY AND IF YOU ASK HR THEY WILL SAY GO CHECK YOUR OFFER LETTER""such A SHAME FOR BIGGER COMPANY",4.2
farisa ali,"Internal politics, unprofessional behaviour of supervisor and managers, cab transportation is very poor, untrained drivers with no proper routing direction, no proper hikes, scam with your salaries and they will suck your mental health with …More",4.2
Neha,totally office politicsonly the favourite person of supervisor can crack the IJP'sthe supervisor creates drama on the floor and who acts according to the …More,4.2
Sourav Kumar Nanda,What a marvellous buildingAwsome created interiorsNice cafeteria with fully air-conditionedMake sure you put ur plates of your own after your lunch,4.2
vive SR,Bad place don't give leaves in case of emergency. Bad work life balance.,4.2
Dibyarup Dhar,"You can join this company at any level of your career, basically it's the project and team members who you need to look out for to grow and have a good work environment. I am glad that I found a great team who always helps me to grow.",4.2
HARISH KANTIMAHANTI,Don’t know how to conduct an interview process. Zero absolute zero coordination between HR team.,4.2
Dwadasi krishna chaitanya,Very nice place to visit and have client interactions,4.2
Ramesh Rami,One of the Worst experience ever faced in my interview trails. Attend interview on 30 th august 2018 for the role Tech Support Executive. I went there around 10.30 in the morning and we were waiting there in visitor room beside Gate area …More,4.2
Siva Dharmini Kolli,Campus is quite good. Food in cafeteria of Infocity is too worst. If you eat that you hate eating again. And eminities are very less. In washrooms you don't see toilet papers. This causes higene issues. Security guards behaviour is too rude …More,4.2
Peetam Bose,Too good campus with all aminities for awesome work life balance and keeping yourself rejoice for the next big thing.,4.2
vinay singh,"Spread across a large area in a very prime location near Cyber tower. Large gardens, parking lots, and other facilities. Beautiful place.",4.2
VivekSindhu1,"I went to the Tech mahindra. The office infrastructure is very nice as well as the security is good. I went for interview purpose, they took the whole day for only a 10 minute interview. It's not good for any candidate.",4.2
Nagendrakumar kalagara,"Very cool & No pressure, it's like government jobAwesome company",4.2
prakruthi daytodayneeds,TA team is not at all organised wil score fr the way the set interviews.. as  0 … as some one reviewed already yes they won’t share all details and get ur signature first and then the truth comes out # salary so many hidden clauses 365 days …More,4.2
SRINIVASA DEVI KURMA,I feel very happy work with this organisation,4.2
Pramod Kumar Sharma,Good place but a long wait time,4.2
Raj Naga,Nice work place .very honor to work in Techm .,4.2
Shinezzz,"Please meet HR dev, he is very much helpful and the inputs which is gave are amazing and helped me a lot to crack interviews instantly. Dev does a great work..😊 thank you.",4.2
swangi jha,It's very nice palace ..and very friendly also,4.2
Meer WajeedAli,"To be honest I’m giving here 5 ⭐️ because I found this organisation caring to employees and provides cross skilling opportunities which boost confidence, satisfied with job security and work culture.",4.2
Vijay V K (Vijay),"If you are okay with not giving salaries on time, excessive pressure lots of humiliation and no job security, you can join tech Mahindra. …More",4.2
Anubhav Saini,"It was a great experience working in Tech Mahindra Limited, Good infrastructure and amazing work environment, great to be a part of Tech Mahindra.",4.2
Sai Manoj,"company has big fame and reputation but it doesn't behave like one "" PLEASE DONT JOIN TECH M THEY CUT YOUR SALARY AND IF YOU ASK HR THEY WILL SAY GO CHECK YOUR OFFER LETTER""such A SHAME FOR BIGGER COMPANY",4.2
farisa ali,"Internal politics, unprofessional behaviour of supervisor and managers, cab transportation is very poor, untrained drivers with no proper routing direction, no proper hikes, scam with your salaries and they will suck your mental health with …More",4.2
Neha,totally office politicsonly the favourite person of supervisor can crack the IJP'sthe supervisor creates drama on the floor and who acts according to the …More,4.2
Sourav Kumar Nanda,What a marvellous buildingAwsome created interiorsNice cafeteria with fully air-conditionedMake sure you put ur plates of your own after your lunch,4.2
vive SR,Bad place don't give leaves in case of emergency. Bad work life balance.,4.2
Dibyarup Dhar,"You can join this company at any level of your career, basically it's the project and team members who you need to look out for to grow and have a good work environment. I am glad that I found a great team who always helps me to grow.",4.2
HARISH KANTIMAHANTI,Don’t know how to conduct an interview process. Zero absolute zero coordination between HR team.,4.2
Dwadasi krishna chaitanya,Very nice place to visit and have client interactions,4.2
Ramesh Rami,One of the Worst experience ever faced in my interview trails. Attend interview on 30 th august 2018 for the role Tech Support Executive. I went there around 10.30 in the morning and we were waiting there in visitor room beside Gate area …More,4.2
Siva Dharmini Kolli,Campus is quite good. Food in cafeteria of Infocity is too worst. If you eat that you hate eating again. And eminities are very less. In washrooms you don't see toilet papers. This causes higene issues. Security guards behaviour is too rude …More,4.2
Peetam Bose,Too good campus with all aminities for awesome work life balance and keeping yourself rejoice for the next big thing.,4.2
vinay singh,"Spread across a large area in a very prime location near Cyber tower. Large gardens, parking lots, and other facilities. Beautiful place.",4.2
VivekSindhu1,"I went to the Tech mahindra. The office infrastructure is very nice as well as the security is good. I went for interview purpose, they took the whole day for only a 10 minute interview. It's not good for any candidate.",4.2
Nagendrakumar kalagara,"Very cool & No pressure, it's like government jobAwesome company",4.2
prakruthi daytodayneeds,TA team is not at all organised wil score fr the way the set interviews.. as  0 … as some one reviewed already yes they won’t share all details and get ur signature first and then the truth comes out # salary so many hidden clauses 365 days …More,4.2
SRINIVASA DEVI KURMA,I feel very happy work with this organisation,4.2
Pramod Kumar Sharma,Good place but a long wait time,4.2
Raj Naga,Nice work place .very honor to work in Techm .,4.2
Shinezzz,"Please meet HR dev, he is very much helpful and the inputs which is gave are amazing and helped me a lot to crack interviews instantly. Dev does a great work..😊 thank you.",4.2
swangi jha,It's very nice palace ..and very friendly also,4.2
